City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,busselton,-33.65,115.3333,22.85,57,0,10.42,AU,1674555193
1,barrow,71.2906,-156.7887,-20.99,77,100,10.8,US,1674555327
2,vaini,-21.2,-175.2,27.09,89,40,3.09,TO,1674555327
3,kiama,-34.6833,150.8667,23.33,87,95,0.45,AU,1674555327
4,mangan,27.5167,88.5333,19.67,53,56,2.31,IN,1674555327
5,ushuaia,-54.8,-68.3,5.11,87,8,3.92,AR,1674555328
6,inhambane,-23.865,35.3833,30.92,53,100,5.72,MZ,1674555328
7,moose factory,51.2585,-80.6094,-18.01,85,100,4.12,CA,1674555328
8,mehamn,71.0357,27.8492,0.97,80,40,13.89,NO,1674555328
9,klaksvik,62.2266,-6.589,8.51,88,100,14.01,FO,1674555329
10,lebu,-37.6167,-73.65,13.91,90,64,4.77,CL,1674555323
11,umea,63.8284,20.2597,0.68,92,28,2.68,SE,1674555329
12,rikitea,-23.1203,-134.9692,25.84,77,1,6.99,PF,1674555329
13,tuktoyaktuk,69.4541,-133.0374,-22.87,97,100,3.6,CA,1674555330
14,kamra,33.7473,73.5111,8.31,70,96,3.19,PK,1674555330
15,atuona,-9.8,-139.0333,25.98,74,10,8.9,PF,1674555330
16,puerto ayora,-0.7393,-90.3518,22.53,97,77,1.05,EC,1674555330
17,punta arenas,-53.15,-70.9167,6.06,70,20,6.69,CL,1674555331
18,bengkulu,-3.8004,102.2655,24.33,93,100,5.31,ID,1674555331
19,ghazipur,25.5833,83.5667,28.7,34,1,1.99,IN,1674555255
20,mahebourg,-20.4081,57.7,25.58,72,100,1.97,MU,1674555331
21,demirci,39.0461,28.6589,10.33,55,17,1.12,TR,1674555332
22,cape town,-33.9258,18.4232,21.32,49,97,4.02,ZA,1674555184
23,road town,18.4167,-64.6167,25.05,67,49,8.61,VG,1674555064
24,bredasdorp,-34.5322,20.0403,18.06,61,54,8.41,ZA,1674555307
25,albany,42.6001,-73.9662,0.32,86,90,3.13,US,1674555333
26,avarua,-21.2078,-159.775,23.03,100,96,0.51,CK,1674555176
27,port alfred,-33.5906,26.891,22.88,77,65,3.13,ZA,1674555334
28,luganville,-15.5333,167.1667,26.59,84,90,2.32,VU,1674555334
29,te anau,-45.4167,167.7167,11.7,77,37,1.72,NZ,1674555334
30,mao,39.8885,4.2658,8.31,87,75,7.72,ES,1674555335
31,gawler,-34.6,138.7333,22.51,64,1,4.85,AU,1674555335
32,lakhdenpokhya,61.5198,30.1992,-0.67,95,100,4.29,RU,1674555336
33,port blair,11.6667,92.75,29.02,61,20,5.14,IN,1674555336
34,erenhot,43.6475,111.9767,-18.75,66,12,4.27,CN,1674555336
35,hilo,19.7297,-155.09,22.93,86,75,2.57,US,1674555337
36,cidreira,-30.1811,-50.2056,23.15,87,3,2.22,BR,1674555338
37,arraial do cabo,-22.9661,-42.0278,23.92,94,75,2.57,BR,1674555338
38,kahului,20.8947,-156.47,23.25,88,0,2.06,US,1674555338
39,itarema,-2.9248,-39.9167,25.31,82,54,1.66,BR,1674555339
40,saint anthony,45.0205,-93.218,-6.12,88,0,3.09,US,1674555339
41,khatanga,71.9667,102.5,-39.53,96,75,2.95,RU,1674555340
42,jamestown,42.097,-79.2353,-1.23,53,100,8.23,US,1674555340
43,brae,60.3964,-1.353,9.22,97,100,10.17,GB,1674555341
44,tasiilaq,65.6145,-37.6368,-6.91,63,100,3.2,GL,1674555342
45,mataura,-46.1927,168.8643,8.81,87,5,1.31,NZ,1674555343
46,ilhabela,-23.7781,-45.3581,24.56,88,100,2.63,BR,1674555303
47,kodiak,57.79,-152.4072,2.73,75,40,2.57,US,1674555343
48,lompoc,34.6391,-120.4579,5.32,93,0,3.09,US,1674555344
49,yellowknife,62.456,-114.3525,-14.69,84,100,4.47,CA,1674555344
50,kaitangata,-46.2817,169.8464,11.01,82,14,3.13,NZ,1674555344
51,ukiah,39.1502,-123.2078,10.24,88,0,0.0,US,1674555345
52,shingu,33.7333,135.9833,-0.45,81,22,8.81,JP,1674555214
53,marrakesh,31.6315,-8.0083,9.04,71,0,3.6,MA,1674555345
54,hermanus,-34.4187,19.2345,18.22,66,88,9.16,ZA,1674555346
55,saldanha,-33.0117,17.9442,18.63,66,83,8.48,ZA,1674555346
56,ancud,-41.8697,-73.8203,10.94,80,23,2.23,CL,1674555070
57,georgetown,5.4112,100.3354,28.96,79,40,2.06,MY,1674555346
58,castro,-24.7911,-50.0119,17.12,91,19,0.5,BR,1674555347
59,kampot,10.6167,104.1833,30.03,58,63,2.99,KH,1674555300
60,bandarbeyla,9.4942,50.8122,25.41,60,96,8.81,SO,1674555347
61,severo-kurilsk,50.6789,156.125,-9.05,66,67,4.42,RU,1674555348
62,thompson,55.7435,-97.8558,-36.04,100,13,1.21,CA,1674555348
63,tiksi,71.6872,128.8694,-31.97,100,100,1.87,RU,1674555349
64,novopokrovka,49.8425,36.5477,1.47,49,6,5.01,UA,1674555104
65,alegrete,-29.7831,-55.7919,21.34,55,0,3.98,BR,1674555349
66,ranong,9.9658,98.6348,29.26,60,99,4.25,TH,1674555285
67,provideniya,64.3833,-173.3,-20.92,87,2,5.19,RU,1674555350
68,guerrero negro,27.9769,-114.0611,11.18,41,3,3.21,MX,1674555350
69,luderitz,-26.6481,15.1594,24.11,47,33,9.15,NA,1674555351
70,udachnyy,66.4167,112.4,-30.31,67,100,1.55,RU,1674555351
71,urgut,39.4022,67.2431,-4.21,76,43,1.61,UZ,1674555078
72,oksfjord,70.2396,22.3479,1.1,81,100,16.41,NO,1674555351
73,coahuayana,18.7333,-103.6833,18.38,78,52,2.12,MX,1674555352
74,nikolskoye,59.7035,30.7861,-2.06,94,100,5.05,RU,1674555352
75,cherskiy,68.75,161.3,-30.11,98,100,1.08,RU,1674555352
76,hobart,-42.8794,147.3294,19.92,80,40,3.09,AU,1674555353
77,saint-philippe,-21.3585,55.7679,25.77,88,100,3.71,RE,1674555353
78,saskylakh,71.9167,114.0833,-22.77,99,100,1.75,RU,1674555353
79,puerto madero,14.7208,-92.4215,22.11,100,0,0.0,MX,1674555354
80,rocha,-34.4833,-54.3333,16.69,67,0,2.16,UY,1674555354
81,carnarvon,-24.8667,113.6333,25.48,75,3,11.36,AU,1674555354
82,mnogovershinnyy,53.9353,139.9242,-33.36,98,100,1.47,RU,1674555355
83,harer,9.3094,42.1258,24.53,27,97,4.57,ET,1674555210
84,magnor,59.9511,12.1996,2.85,100,100,1.27,SE,1674555356
85,victoria,22.2855,114.1577,16.03,42,11,6.71,HK,1674555100
86,hun,29.1268,15.9477,18.83,19,86,3.98,LY,1674555202
87,satun,6.8333,100.0,28.78,72,73,3.93,TH,1674555338
88,ribeira grande,38.5167,-28.7,15.99,88,75,8.23,PT,1674555358
89,yerbogachen,61.2767,108.0108,-39.92,100,72,0.2,RU,1674555358
90,hashtrud,37.4779,47.0508,-3.51,60,3,1.9,IR,1674555271
91,tuatapere,-46.1333,167.6833,9.51,85,2,1.07,NZ,1674555359
92,borogontsy,62.6683,131.1683,-39.99,97,100,1.83,RU,1674555359
93,lagoa,39.05,-27.9833,15.44,75,100,7.6,PT,1674555360
94,new norfolk,-42.7826,147.0587,19.72,63,79,0.85,AU,1674555361
95,kununurra,-15.7667,128.7333,33.99,49,75,2.57,AU,1674555066
96,monrovia,6.3005,-10.7969,26.87,78,100,1.05,LR,1674555166
97,mar del plata,-38.0023,-57.5575,18.26,77,4,4.02,AR,1674555362
98,bambanglipuro,-7.95,110.2833,28.41,73,82,4.03,ID,1674555342
99,palmer,42.1584,-72.3287,0.83,79,100,3.09,US,1674555362
100,butaritari,3.0707,172.7902,27.36,80,98,7.9,KI,1674555363
101,lubumbashi,-11.6609,27.4794,23.0,78,99,3.69,CD,1674555363
102,yantal,56.8471,105.2542,-20.66,98,100,1.17,RU,1674555363
103,najran,17.4924,44.1277,24.36,19,1,1.04,SA,1674555364
104,longyearbyen,78.2186,15.6401,-3.09,86,100,10.29,SJ,1674555364
105,hami,42.8,93.45,-7.31,20,1,0.74,CN,1674555235
106,cayenne,4.9333,-52.3333,25.02,78,75,3.6,GF,1674555364
107,stornoway,58.2093,-6.3865,10.58,94,75,7.2,GB,1674555365
108,kapaa,22.0752,-159.319,21.18,88,0,3.09,US,1674555157
109,lajoskomarom,46.842,18.3376,4.71,85,100,1.44,HU,1674555366
110,calama,-22.4667,-68.9333,9.27,76,0,6.69,CL,1674555081
111,hailar,49.2,119.7,-31.32,93,6,4.07,CN,1674555108
112,grindavik,63.8424,-22.4338,4.97,93,75,5.66,IS,1674555367
113,gavle,60.6745,17.1417,3.52,88,100,1.34,SE,1674555367
114,diffa,13.3154,12.6113,30.32,10,89,6.37,NE,1674555368
115,grevesmuhlen,53.8667,11.1833,1.86,87,99,0.66,DE,1674555368
116,hofn,64.2539,-15.2082,4.73,95,100,5.25,IS,1674555368
117,cabedelo,-6.9811,-34.8339,26.37,75,9,4.47,BR,1674555369
118,boueni,-12.9025,45.0761,29.99,79,100,8.61,YT,1674555369
119,deputatskiy,69.3,139.9,-36.9,98,100,1.22,RU,1674555369
120,srivardhan,18.0333,73.0167,23.64,60,4,7.49,IN,1674555370
121,cabo san lucas,22.8909,-109.9124,16.95,75,93,2.9,MX,1674555079
122,sisimiut,66.9395,-53.6735,-6.48,92,100,4.24,GL,1674555371
